Total URLs processed: 178
Total extraction time: 293.83 seconds

Entity: Australian Hearing Services (Hearing Australia) | Number of terms: 21 
Entity: Department of Infrastructure, Transport, Regional Development, Communications and the Arts | Number of terms: 38 
Entity: Department of Social Services | Number of terms: 0 
Entity: Department of Home Affairs | Number of terms: 36 
Entity: Department of Home Affairs | Number of terms: 143 
Entity: Department of Veterans' Affairs | Number of terms: 0 
Entity: Department of Parliamentary Services | Number of terms: 0 
Entity: Digital Transformation Agency | Number of terms: 34 
Entity: Department of the Treasury | Number of terms: 35 
Entity: Department of the Treasury | Number of terms: 34 
Entity: Department of Parliamentary Services | Number of terms: 37 
Entity: Export Finance and Insurance Corporation (EFIC, Export Finance Australia) | Number of terms: 79 
Entity: Future Fund Management Agency | Number of terms: 0 
Entity: Grains Research and Development Corporation | Number of terms: 92 
Entity: Geoscience Australia | Number of terms: 20 
Entity: Great Barrier Reef Marine Park Authority | Number of terms: 0 
Entity: Independent Health and Aged Care Pricing Authority | Number of terms: 0 
Entity: Domestic, Family and Sexual Violence Commission | Number of terms: 18 
Entity: Independent Health and Aged Care Pricing Authority | Number of terms: 0 
Entity: Indigenous Land and Sea Corporation | Number of terms: 21 
Entity: Inspector-General of Taxation | Number of terms: 20 
Entity: IP Australia | Number of terms: 33 
Entity: Murray-Darling Basin Authority | Number of terms: 0 
Entity: Inspector-General of Taxation | Number of terms: 45 
Entity: Murray-Darling Basin Authority | Number of terms: 35 
Entity: National Disability Insurance Agency | Number of terms: 37 
Entity: Independent Parliamentary Expenses Authority | Number of terms: 44 
Entity: National Anti-Corruption Commission | Number of terms: 0 
Entity: NDIS Quality and Safeguards Commission | Number of terms: 43 
Entity: National Blood Authority | Number of terms: 55 
Entity: National Disability Insurance Agency | Number of terms: 7 
Entity: National Anti-Corruption Commission | Number of terms: 0 
Entity: National Film and Sound Archive of Australia | Number of terms: 1 
Entity: National Gallery of Australia | Number of terms: 0 
Entity: National Health Funding Body (NHFB) | Number of terms: 24 
Entity: NDIS Quality and Safeguards Commission | Number of terms: 21 
Entity: National Health Funding Body (NHFB) | Number of terms: 0 
Entity: National Health and Medical Research Council (NHMRC) | Number of terms: 117 
Entity: National Transport Commission | Number of terms: 0 
Entity: Northern Land Council | Number of terms: 28 
Entity: Office of the Australian Information Commissioner | Number of terms: 110 
Entity: Office of the Fair Work Ombudsman | Number of terms: 0 
Entity: Office of the Fair Work Ombudsman | Number of terms: 0 
Entity: Office of the Inspector-General of Intelligence and Security | Number of terms: 50 
Entity: Office of the Commonwealth Ombudsman | Number of terms: 59 
Entity: Office of the Commonwealth Ombudsman | Number of terms: 23 
Entity: Office of the Special Investigator | Number of terms: 32 
Entity: Organ and Tissue Authority (Australian Organ and Tissue Donation and Transplantation Authority) | Number of terms: 28 
Entity: Organ and Tissue Authority (Australian Organ and Tissue Donation and Transplantation Authority) | Number of terms: 11 
Entity: Parliamentary Workplace Support Service | Number of terms: 0 
Entity: Parliamentary Budget Office | Number of terms: 4 
Entity: Parliamentary Budget Office | Number of terms: 22 
Entity: National Mental Health Commission | Number of terms: 0 
Entity: National Mental Health Commission | Number of terms: 0 
Entity: Reserve Bank of Australia | Number of terms: 159 
Entity: Rural Industries Research and Development Corporation | Number of terms: 0 
Entity: Safe Work Australia | Number of terms: 66 
Entity: National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA) | Number of terms: 93 
Entity: Safe Work Australia | Number of terms: 27 
Entity: Tertiary Education Quality and Standards Agency | Number of terms: 35 
Entity: Seafarers Safety, Rehabilitation and Compensation Authority (Seacare Authority) | Number of terms: 23 
Entity: Torres Strait Regional Authority | Number of terms: 39 
Entity: Tourism Australia | Number of terms: 26 
Entity: Tiwi Land Council | Number of terms: 16 
Entity: Tourism Australia | Number of terms: 0 
Entity: Wine Australia | Number of terms: 46 
Entity: Sport Integrity Australia | Number of terms: 34 
Entity: Sport Integrity Australia | Number of terms: 18 
Entity: Workplace Gender Equality Agency | Number of terms: 38 
Entity: Services Australia | Number of terms: 102 
Entity: Royal Australian Mint | Number of terms: 42 
Entity: Royal Australian Mint | Number of terms: 0 
Entity: Royal Australian Mint | Number of terms: 0 
