Total failed entries: 40

Entity: Australian Broadcasting Corporation | URL: https://www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24/abbreviations-list | Number of terms: 0 
Entity: Australian Fisheries Management Authority | URL: https://www.transparency.gov.au/publications/agriculture/australian-fisheries-management-authority/australian-fisheries-management-authority-annual-report-2023-24/references/glossary | Number of terms: 0 
Entity: Australian Security Intelligence Organisation | URL: https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/glossary | Number of terms: 0 
Entity: Australian Security Intelligence Organisation | URL: https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/abbreviations-and-short-forms | Number of terms: 0 
Entity: Australian Research Council | URL: https://www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24/part-6%3A-reference-material/glossary | Number of terms: 0 
Entity: Australian Submarine Agency | URL: https://www.transparency.gov.au/publications/defence/australian-submarine-agency/australian-submarine-agency-annual-report-2023-24/chapter-5%3A-appendices/appendix-f%3A-glossary-of-abbreviations-and-acronyms | Number of terms: 0 
Entity: Commonwealth Scientific and Industrial Research Organisation | URL: https://www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24/part-6%3A-appendices-and-indexes-/glossary | Number of terms: 0 
Entity: Coal Mining Industry (Long Service Leave Funding) Corporation | URL: https://www.transparency.gov.au/publications/attorney-general-s/coal-mining-industry-long-service-leave-funding-corporation/coal-mining-industry-long-service-leave-funding-corporation-annual-report-2023-24/-part-5.-appendices/glossary-and-acronyms | Number of terms: 0 
Entity: Department of Social Services | URL: https://www.transparency.gov.au/publications/social-services/department-of-social-services/department-of-social-services-2023-24-annual-report/part-6---appendices-and-index/appendix-g-glossary-of-abbreviations-and-acronyms | Number of terms: 0 
Entity: Department of Veterans' Affairs | URL: https://www.transparency.gov.au/publications/veterans-affairs/department-of-veterans-affairs/dva-annual-report-2023-24/08-aids-to-access/acronyms-and-abbreviations | Number of terms: 0 
Entity: Department of Parliamentary Services | URL: https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024/part-9%3A-reference-material/acronyms-and-abbreviations | Number of terms: 0 
Entity: Future Fund Management Agency | URL: https://www.transparency.gov.au/publications/finance/future-fund-management-agency/future-fund-management-agency-annual-report-2023-24/08-references-and-index/glossary-of-abbreviations-and-acronyms | Number of terms: 0 
Entity: Great Barrier Reef Marine Park Authority | URL: https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/great-barrier-reef-marine-park-authority/great-barrier-reef-marine-park-authority-annual-report-2023-24/6.-appendices/acronyms-and-abbreviations | Number of terms: 0 
Entity: Independent Health and Aged Care Pricing Authority | URL: https://www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-c-%E2%80%94-glossary | Number of terms: 0 
Entity: Independent Health and Aged Care Pricing Authority | URL: https://www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-b-%E2%80%94-acronyms-and-abbreviations | Number of terms: 0 
Entity: Murray-Darling Basin Authority | URL: https://www.transparency.gov.au/publications/agriculture/murray-darling-basin-authority/murray-darling-basin-authority-annual-report-2023-24/appendices/glossary | Number of terms: 0 
Entity: National Anti-Corruption Commission | URL: https://www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24/aides-to-access/acronyms-and-abbreviations | Number of terms: 0 
Entity: National Anti-Corruption Commission | URL: https://www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24/aides-to-access/glossary-of-data-terms | Number of terms: 0 
Entity: National Gallery of Australia | URL: https://www.transparency.gov.au/publications/communications-and-the-arts/national-gallery-of-australia/national-gallery-of-australia-annual-report-2023-24/part-6%3A-appendices/abbreviations-and-acronyms | Number of terms: 0 
Entity: National Health Funding Body (NHFB) | URL: https://www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24/part-5%3A-reference-information/glossary | Number of terms: 0 
Entity: National Transport Commission | URL: https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-transport-commission/national-transport-commission-annual-report-2023-24/appendices/appendix-e%3A-glossary-and-acronyms | Number of terms: 0 
Entity: Office of the Fair Work Ombudsman | URL: https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/abbreviations-and-acronyms | Number of terms: 0 
Entity: Office of the Fair Work Ombudsman | URL: https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/glossary | Number of terms: 0 
Entity: Parliamentary Workplace Support Service | URL: https://www.transparency.gov.au/publications/finance/parliamentary-workplace-support-service/parliamentary-workplace-support-service-annual-report-2023-24/part-5.-appendices/appendix-g--abbreviations-and-acronyms | Number of terms: 0 
Entity: National Mental Health Commission | URL: https://www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/glossary | Number of terms: 0 
Entity: National Mental Health Commission | URL: https://www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/acronyms | Number of terms: 0 
Entity: Rural Industries Research and Development Corporation | URL: https://www.transparency.gov.au/publications/agriculture/rural-industries-research-and-development-corporation/agrifutures-australia-annual-report-2023-2024/appendices/appendix-4%3A-glossary | Number of terms: 0 
Entity: Tourism Australia | URL: https://www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.5-abbreviations-and-acronyms | Number of terms: 0 
Entity: Royal Australian Mint | URL: https://www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/09-indices/glossary | Number of terms: 0 
Entity: Royal Australian Mint | URL: https://www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/05-annual-performance-statements/key-definitions | Number of terms: 0 
